host_country,uie_country,evidence_bucket,lei_count,known_uie_count,inferred_uie_count,model_only_count,avg_uie_confidence
SG,US,E_model_only,1047,0,1047,1047,0.4468
TH,EUROPE,E_model_only,1027,0,1027,1027,0.4078
SG,GB,E_model_only,972,0,972,972,0.5896
ID,EUROPE,E_model_only,694,0,694,694,0.6196
SG,DE,E_model_only,670,0,670,670,0.5626
SG,KY,E_model_only,593,0,593,593,0.5621
SG,IN,E_model_only,511,0,511,511,0.4874
SG,KY,D_address_inferred,503,0,503,0,0.6
TH,DE,E_model_only,467,0,467,467,0.3093
MY,US,E_model_only,445,0,445,445,0.8041
ID,OTHER,E_model_only,430,0,430,430,0.5407
SG,US,D_address_inferred,414,0,414,0,0.6
SG,IN,D_address_inferred,366,0,366,0,0.6
MY,SG,E_model_only,334,0,334,334,0.8207
PH,US,E_model_only,295,0,295,295,0.4526
SG,GB,D_address_inferred,286,0,286,0,0.6
SG,BM,D_address_inferred,285,0,285,0,0.6
MY,DE,E_model_only,276,0,276,276,0.7709
TH,US,E_model_only,249,0,249,249,0.2362
SG,AU,E_model_only,221,0,221,221,0.6945
PH,DE,E_model_only,220,0,220,220,0.4394
SG,US,A_hard_or_verified,218,218,0,0,1.0
MY,GB,E_model_only,186,0,186,186,0.7614
SG,NO,E_model_only,186,0,186,186,0.7849
SG,VG,E_model_only,174,0,174,174,0.4949
SG,AU,D_address_inferred,155,0,155,0,0.6
SG,HK,E_model_only,145,0,145,145,0.5355
SG,HK,D_address_inferred,134,0,134,0,0.6
SG,JE,E_model_only,134,0,134,134,0.7066
SG,FR,D_address_inferred,132,0,132,0,0.6
TH,GB,E_model_only,128,0,128,128,0.2488
VN,EUROPE,E_model_only,122,0,122,122,0.9374
SG,IN,A_hard_or_verified,114,114,0,0,1.0
SG,OFFSHORE,E_model_only,102,0,102,102,0.8324
SG,CN,D_address_inferred,101,0,101,0,0.6
SG,NL,E_model_only,101,0,101,101,0.6333
SG,NO,D_address_inferred,97,0,97,0,0.6
MY,OFFSHORE,E_model_only,94,0,94,94,0.8506
SG,KR,D_address_inferred,93,0,93,0,0.6
SG,LU,D_address_inferred,89,0,89,0,0.6
SG,GB,A_hard_or_verified,85,85,0,0,0.9996
SG,KY,A_hard_or_verified,78,78,0,0,1.0
SG,EUROPE,E_model_only,76,0,76,76,0.4368
MY,US,A_hard_or_verified,74,74,0,0,1.0
SG,JP,A_hard_or_verified,71,71,0,0,1.0
TH,US,A_hard_or_verified,71,71,0,0,1.0
TH,DE,A_hard_or_verified,67,67,0,0,1.0
SG,JP,E_model_only,66,0,66,66,0.5859
SG,RU,D_address_inferred,66,0,66,0,0.6
MY,EUROPE,E_model_only,64,0,64,64,0.7137
SG,FR,C_name_inferred,62,0,62,0,1.0
SG,JP,D_address_inferred,61,0,61,0,0.6
TH,ASIA_OTHER,E_model_only,61,0,61,61,0.2387
SG,FR,E_model_only,60,0,60,60,0.4855
MY,GB,A_hard_or_verified,59,59,0,0,1.0
SG,OTHER,E_model_only,59,0,59,59,0.5564
SG,CH,D_address_inferred,58,0,58,0,0.6
SG,DE,A_hard_or_verified,58,58,0,0,1.0
SG,IE,D_address_inferred,58,0,58,0,0.6
SG,CN,A_hard_or_verified,56,56,0,0,0.9995
ID,US,A_hard_or_verified,55,55,0,0,1.0
SG,PH,D_address_inferred,55,0,55,0,0.6
SG,ID,D_address_inferred,54,0,54,0,0.6
VN,ASIA_OTHER,E_model_only,47,0,47,47,0.9707
SG,FI,D_address_inferred,45,0,45,0,0.6
SG,MY,E_model_only,44,0,44,44,0.5798
MY,DE,A_hard_or_verified,41,41,0,0,1.0
PH,US,A_hard_or_verified,41,41,0,0,1.0
SG,FR,A_hard_or_verified,41,41,0,0,1.0
ID,DE,A_hard_or_verified,40,40,0,0,1.0
SG,BM,A_hard_or_verified,40,40,0,0,1.0
SG,DE,D_address_inferred,38,0,38,0,0.6
TH,OTHER,E_model_only,38,0,38,38,0.2647
SG,CA,A_hard_or_verified,34,34,0,0,1.0
SG,MIDEAST_AFRICA,E_model_only,34,0,34,34,0.5106
PH,DE,A_hard_or_verified,30,30,0,0,1.0
SG,CN,E_model_only,30,0,30,30,0.7031
SG,MU,D_address_inferred,30,0,30,0,0.6
VN,US,A_hard_or_verified,30,30,0,0,1.0
MY,ASIA_OTHER,E_model_only,29,0,29,29,0.8085
SG,NL,D_address_inferred,29,0,29,0,0.6
ID,GB,A_hard_or_verified,28,28,0,0,1.0
SG,BM,E_model_only,27,0,27,27,0.5794
SG,GB,C_name_inferred,27,0,27,0,1.0
SG,MY,D_address_inferred,27,0,27,0,0.6
SG,NL,A_hard_or_verified,27,27,0,0,1.0
SG,AU,C_name_inferred,26,0,26,0,1.0
SG,CA,E_model_only,26,0,26,26,0.6026
MY,SG,A_hard_or_verified,25,25,0,0,1.0
MY,US,D_address_inferred,25,0,25,0,0.6076
VN,DE,E_model_only,25,0,25,25,0.8633
SG,KY,C_name_inferred,24,0,24,0,0.9636
SG,TH,A_hard_or_verified,22,22,0,0,1.0
KH,OTHER,E_model_only,21,0,21,21,0.8637
SG,AU,A_hard_or_verified,21,21,0,0,1.0
SG,CA,D_address_inferred,21,0,21,0,0.6
SG,CH,A_hard_or_verified,21,21,0,0,1.0
SG,CH,E_model_only,21,0,21,21,0.4947
SG,TH,D_address_inferred,21,0,21,0,0.6
SG,US,C_name_inferred,21,0,21,0,0.9916
TH,FR,A_hard_or_verified,21,21,0,0,1.0
TH,GB,A_hard_or_verified,21,21,0,0,1.0
LA,EUROPE,E_model_only,20,0,20,20,1.0
ID,FR,A_hard_or_verified,19,19,0,0,1.0
ID,SG,A_hard_or_verified,19,19,0,0,1.0
PH,GB,A_hard_or_verified,19,19,0,0,1.0
VN,DE,A_hard_or_verified,19,19,0,0,1.0
BN,EUROPE,E_model_only,18,0,18,18,1.0
MY,MIDEAST_AFRICA,E_model_only,17,0,17,17,0.8495
SG,BS,D_address_inferred,16,0,16,0,0.6
SG,NO,A_hard_or_verified,16,16,0,0,1.0
MY,GB,D_address_inferred,15,0,15,0,0.628
SG,AE,D_address_inferred,15,0,15,0,0.6
SG,MY,A_hard_or_verified,15,15,0,0,1.0
MY,CH,A_hard_or_verified,14,14,0,0,1.0
SG,CN,B_parent_or_exception,14,14,0,0,0.85
SG,TW,A_hard_or_verified,14,14,0,0,1.0
VN,OTHER,E_model_only,14,0,14,14,0.8818
ID,NL,A_hard_or_verified,13,13,0,0,1.0
MY,FR,A_hard_or_verified,13,13,0,0,1.0
SG,HK,A_hard_or_verified,13,13,0,0,1.0
SG,JE,D_address_inferred,13,0,13,0,0.6
VN,GB,A_hard_or_verified,13,13,0,0,1.0
ID,JP,A_hard_or_verified,12,12,0,0,1.0
MY,JP,A_hard_or_verified,12,12,0,0,1.0
SG,KR,A_hard_or_verified,12,12,0,0,1.0
SG,VG,A_hard_or_verified,12,12,0,0,1.0
VN,NL,A_hard_or_verified,12,12,0,0,1.0
VN,US,E_model_only,12,0,12,12,0.7494
BN,OTHER,E_model_only,11,0,11,11,0.9264
ID,CH,A_hard_or_verified,11,11,0,0,1.0
PH,AMERICAS_OTHER,E_model_only,11,0,11,11,0.3805
SG,ID,A_hard_or_verified,11,11,0,0,1.0
SG,JE,A_hard_or_verified,11,11,0,0,1.0
SG,PH,A_hard_or_verified,11,11,0,0,1.0
SG,LU,A_hard_or_verified,10,10,0,0,1.0
ID,CA,D_address_inferred,9,0,9,0,0.6
PH,CH,A_hard_or_verified,9,9,0,0,1.0
SG,IE,A_hard_or_verified,9,9,0,0,1.0
TH,CH,A_hard_or_verified,9,9,0,0,1.0
TH,FR,E_model_only,9,0,9,9,0.274
ID,TH,A_hard_or_verified,8,8,0,0,1.0
PH,FR,A_hard_or_verified,8,8,0,0,1.0
SG,DE,C_name_inferred,8,0,8,0,1.0
TH,JP,A_hard_or_verified,8,8,0,0,1.0
MY,CH,D_address_inferred,7,0,7,0,0.7214
MY,FR,D_address_inferred,7,0,7,0,0.6057
MY,HK,D_address_inferred,7,0,7,0,0.6529
MY,KR,D_address_inferred,7,0,7,0,0.65
MY,NL,A_hard_or_verified,7,7,0,0,1.0
MY,SG,D_address_inferred,7,0,7,0,0.7
PH,NL,A_hard_or_verified,7,7,0,0,1.0
SG,HK,B_parent_or_exception,7,7,0,0,0.8643
SG,IE,E_model_only,7,0,7,7,0.4754
SG,IN,C_name_inferred,7,0,7,0,0.987
SG,IT,A_hard_or_verified,7,7,0,0,1.0
SG,TW,D_address_inferred,7,0,7,0,0.6
TH,MY,D_address_inferred,7,0,7,0,0.6
SG,AE,A_hard_or_verified,6,6,0,0,1.0
SG,ASIA_OTHER,E_model_only,6,0,6,6,0.463
SG,BE,A_hard_or_verified,6,6,0,0,1.0
SG,ES,D_address_inferred,6,0,6,0,0.6
SG,GG,D_address_inferred,6,0,6,0,0.6
SG,LI,A_hard_or_verified,6,6,0,0,1.0
TH,SG,A_hard_or_verified,6,6,0,0,1.0
VN,FR,A_hard_or_verified,6,6,0,0,1.0
VN,SG,A_hard_or_verified,6,6,0,0,1.0
BN,GB,A_hard_or_verified,5,5,0,0,1.0
MM,OTHER,E_model_only,5,0,5,5,1.0
MY,CA,A_hard_or_verified,5,5,0,0,1.0
MY,GB,C_name_inferred,5,0,5,0,1.0
MY,JE,D_address_inferred,5,0,5,0,0.55
SG,AT,A_hard_or_verified,5,5,0,0,1.0
SG,DK,A_hard_or_verified,5,5,0,0,1.0
SG,IN,B_parent_or_exception,5,5,0,0,0.85
SG,MU,A_hard_or_verified,5,5,0,0,1.0
SG,SE,A_hard_or_verified,5,5,0,0,1.0
TH,BE,A_hard_or_verified,5,5,0,0,1.0
TH,DK,D_address_inferred,5,0,5,0,0.6
TH,IN,A_hard_or_verified,5,5,0,0,1.0
TH,JE,A_hard_or_verified,5,5,0,0,1.0
TH,NL,A_hard_or_verified,5,5,0,0,1.0
VN,CH,A_hard_or_verified,5,5,0,0,1.0
ID,FI,A_hard_or_verified,4,4,0,0,1.0
ID,IN,A_hard_or_verified,4,4,0,0,1.0
ID,MY,A_hard_or_verified,4,4,0,0,1.0
MY,DE,C_name_inferred,4,0,4,0,1.0
MY,IN,A_hard_or_verified,4,4,0,0,1.0
MY,IN,D_address_inferred,4,0,4,0,0.55
MY,IT,A_hard_or_verified,4,4,0,0,1.0
MY,NL,D_address_inferred,4,0,4,0,0.63
MY,TR,D_address_inferred,4,0,4,0,0.58
MY,TW,D_address_inferred,4,0,4,0,0.58
PH,CA,A_hard_or_verified,4,4,0,0,1.0
PH,JE,A_hard_or_verified,4,4,0,0,1.0
PH,JP,A_hard_or_verified,4,4,0,0,1.0
SG,DK,D_address_inferred,4,0,4,0,0.6
SG,FI,A_hard_or_verified,4,4,0,0,1.0
SG,JE,C_name_inferred,4,0,4,0,0.9833
SG,KY,B_parent_or_exception,4,4,0,0,0.85
SG,SA,A_hard_or_verified,4,4,0,0,1.0
SG,VG,D_address_inferred,4,0,4,0,0.6
TH,AT,A_hard_or_verified,4,4,0,0,1.0
TH,BM,A_hard_or_verified,4,4,0,0,1.0
