source_country,destination_country,evidence_bucket,lei_count,known_uie_count,inferred_uie_count,model_only_count,avg_uie_confidence
SG,MY,E_model_only,334,0,334,334,0.8207
PH,SG,D_address_inferred,55,0,55,0,0.6
ID,SG,D_address_inferred,54,0,54,0,0.6
MY,SG,E_model_only,44,0,44,44,0.5798
MY,SG,D_address_inferred,27,0,27,0,0.6
SG,MY,A_hard_or_verified,25,25,0,0,1.0
TH,SG,A_hard_or_verified,22,22,0,0,1.0
TH,SG,D_address_inferred,21,0,21,0,0.6
SG,ID,A_hard_or_verified,19,19,0,0,1.0
MY,SG,A_hard_or_verified,15,15,0,0,1.0
ID,SG,A_hard_or_verified,11,11,0,0,1.0
PH,SG,A_hard_or_verified,11,11,0,0,1.0
TH,ID,A_hard_or_verified,8,8,0,0,1.0
MY,TH,D_address_inferred,7,0,7,0,0.6
SG,MY,D_address_inferred,7,0,7,0,0.7
SG,TH,A_hard_or_verified,6,6,0,0,1.0
SG,VN,A_hard_or_verified,6,6,0,0,1.0
MY,ID,A_hard_or_verified,4,4,0,0,1.0
MY,TH,A_hard_or_verified,4,4,0,0,1.0
MY,KH,A_hard_or_verified,3,3,0,0,1.0
SG,MY,C_name_inferred,3,0,3,0,1.0
SG,PH,A_hard_or_verified,3,3,0,0,1.0
SG,TH,D_address_inferred,3,0,3,0,0.6
VN,SG,A_hard_or_verified,3,3,0,0,0.99
VN,SG,D_address_inferred,3,0,3,0,0.6
MY,SG,C_name_inferred,2,0,2,0,1.0
SG,TH,B_parent_or_exception,2,2,0,0,0.85
TH,SG,E_model_only,2,0,2,2,0.7091
TH,VN,A_hard_or_verified,2,2,0,0,1.0
ID,SG,C_name_inferred,1,0,1,0,1.0
MY,PH,A_hard_or_verified,1,1,0,0,1.0
MY,VN,A_hard_or_verified,1,1,0,0,0.97
SG,ID,B_parent_or_exception,1,1,0,0,0.85
SG,MY,B_parent_or_exception,1,1,0,0,0.85
SG,PH,B_parent_or_exception,1,1,0,0,0.85
SG,VN,E_model_only,1,0,1,1,0.8342
TH,PH,A_hard_or_verified,1,1,0,0,1.0
